"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"1","264","40"
"1","155","1"
"1","155","1"
"1","143","1"
"1","159","1"
"1","162","40"
"1","231","40"
"1","119","1"
"1","241","40"
"1","221","40"
"1","114","1"
"1","211","1"
"1","210","40"
"1","87","1"
"1","195","1"
"1","52","40"
"1","54","1"
"2","136","191"
"2","136","101"
"2","147","6"
"2","147","18"
"2","264","18"
"2","264","26"
"2","264","68"
"2","264","191"
"2","265","44"
"2","154","191"
"2","268","191"
"2","268","18"
"2","268","114"
"2","155","4"
"2","155","71"
"2","155","191"
"2","270","5"
"2","155","191"
"2","139","191"
"2","251","71"
"2","248","191"
"2","249","5"
"2","248","68"
"2","249","73"
"2","136","114"
"2","257","5"
"2","143","190"
"2","257","5"
"2","143","84"
"2","143","74"
"2","143","191"
"2","143","6"
"2","143","18"
"2","143","54"
"2","255","112"
"2","258","63"
"2","258","35"
"2","258","18"
"2","144","35"
"2","257","5"
"2","263","35"
"2","260","46"
"2","260","4"
"2","259","71"
"2","158","4"
"2","41","5"
"2","41","54"
"2","41","112"
"2","163","95"
"2","44","35"
"2","45","4"
"2","45","191"
"2","45","191"
"2","46","74"
"2","46","44"
"2","231","114"
"2","228","18"
"2","228","191"
"2","231","5"
"2","117","35"
"2","119","35"
"2","244","44"
"2","240","35"
"2","125","4"
"2","246","18"
"2","134","5"
"2","245","35"
"2","133","46"
"2","133","35"
"2","131","95"
"2","219","18"
"2","216","64"
"2","216","46"
"2","216","16"
"2","220","114"
"2","98","35"
"2","214","114"
"2","96","63"
"2","98","191"
"2","98","74"
"2","98","191"
"2","98","4"
"2","98","46"
"2","227","191"
"2","115","68"
"2","115","74"
"2","115","5"
"2","112","63"
"2","106","46"
"2","106","114"
"2","221","68"
"2","106","5"
"2","106","35"
"2","224","114"
"2","109","4"
"2","223","4"
"2","207","5"
"2","209","46"
"2","91","122"
"2","90","191"
"2","90","26"
"2","200","99"
"2","199","63"
"2","85","158"
"2","87","191"
"2","95","74"
"2","95","68"
"2","95","46"
"2","95","63"
"2","95","191"
"2","96","4"
"2","212","18"
"2","93","46"
"2","213","18"
"2","95","35"
"2","70","114"
"2","190","122"
"2","67","5"
"2","67","4"
"2","188","46"
"2","66","95"
"2","185","44"
"2","185","5"
"2","82","54"
"2","198","68"
"2","77","114"
"2","74","63"
"2","196","5"
"2","175","113"
"2","175","114"
"2","178","35"
"2","175","18"
"2","175","44"
"2","175","35"
"2","175","190"
"2","47","6"
"2","47","5"
"2","47","5"
"2","47","5"
"2","165","190"
"2","63","68"
"2","63","114"
"2","61","71"
"2","183","6"
"2","183","77"
"2","56","5"
"2","59","54"
"2","182","114"
"2","182","122"
"2","59","122"
"2","61","35"
"2","55","191"
"2","181","4"
"3","136","37"
"3","136","37"
"3","136","37"
"3","136","19"
"3","263","46"
"3","263","12"
"3","149","44"
"3","268","111"
"3","268","19"
"3","155","38"
"3","248","104"
"3","254","44"
"3","143","4"
"3","257","38"
"3","257","38"
"3","145","37"
"3","260","44"
"3","46","41"
"3","46","41"
"3","46","41"
"3","46","41"
"3","229","3"
"3","237","4"
"3","125","4"
"3","125","4"
"3","128","4"
"3","245","38"
"3","219","104"
"3","220","38"
"3","103","104"
"3","98","38"
"3","214","107"
"3","99","41"
"3","99","41"
"3","99","41"
"3","99","41"
"3","98","19"
"3","226","44"
"3","106","41"
"3","106","41"
"3","106","41"
"3","106","41"
"3","106","44"
"3","108","19"
"3","108","37"
"3","224","37"
"3","90","18"
"3","82","107"
"3","94","44"
"3","67","4"
"3","185","68"
"3","65","12"
"3","198","19"
"3","198","38"
"3","74","19"
"3","74","12"
"3","194","46"
"3","71","44"
"3","73","19"
"3","169","111"
"3","168","19"
"3","47","19"
"3","166","68"
"3","65","19"
"3","183","12"
"3","62","37"
"3","179","68"
"3","181","4"
"3","181","12"
"4","147","4"
"4","143","4"
"4","41","122"
"4","45","4"
"4","236","18"
"4","245","4"
"4","128","191"
"4","216","17"
"4","189","76"
"4","67","4"
"4","77","42"
"4","176","122"
"4","61","4"
"5","65","5"
"5","47","45"
"5","170","5"
"5","67","5"
"5","67","162"
"5","95","5"
"5","95","162"
"5","95","162"
"5","85","45"
"5","201","45"
"5","199","45"
